,strategy,decks,penetration,seventeen,BJ_payout,-1_count_bet,-1_count_spot,0_count_bet,0_count_spot,1_count_bet,1_count_spot,2_count_bet,2_count_spot,3_count_bet,3_count_spot,4_count_bet,4_count_spot,5_count_bet,5_count_spot,6_count_bet,6_count_spot,probability_of_winning,expected_value,prob_of_winning_on_pos_count,expected_value_on_pos_count,fifth_percentile_loss
27,counter,4,2.0,H17,"[6, 5]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.535698,0.004391399999999997,0.5768640188452242,0.05185182508914992,-2069.9999999999272
28,counter,6,0.5,S17,"[3, 2]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.541609,0.0508962,0.5818716165813353,0.17848452802152204,-1503.810000002805
29,counter,6,0.5,S17,"[6, 5]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.541609,0.0508962,0.5818716165813353,0.17848452802152204,-1503.810000002805
30,counter,6,0.5,H17,"[3, 2]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.540622,0.0565284,0.5802443582521155,0.19644111674061013,-1678.4100000039557
31,counter,6,0.5,H17,"[6, 5]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.540622,0.0565284,0.5802443582521155,0.19644111674061013,-1678.4100000039557
32,counter,6,1.0,S17,"[3, 2]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.541051,0.0510478,0.5815950029511374,0.18417622235478667,-1396.9999999999623
33,counter,6,1.0,S17,"[6, 5]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.541051,0.0510478,0.5815950029511374,0.18417622235478667,-1396.9999999999623
34,counter,6,1.0,H17,"[3, 2]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.539936,0.0454988,0.5794812519935448,0.1673927117578881,-1548.5999999987644
35,counter,6,1.0,H17,"[6, 5]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.539936,0.0454988,0.5794812519935448,0.1673927117578881,-1548.5999999987644
36,counter,6,1.5,S17,"[3, 2]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.539176,0.0288402,0.5794017832246305,0.12146330515448492,-1491.2100000003466
37,counter,6,1.5,S17,"[6, 5]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.539176,0.0288402,0.5794017832246305,0.12146330515448492,-1491.2100000003466
38,counter,6,1.5,H17,"[3, 2]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.537576,0.030764000000000003,0.5778422419927614,0.13495946585496235,-1357.7999999993735
39,counter,6,1.5,H17,"[6, 5]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.537576,0.030764000000000003,0.5778422419927614,0.13495946585496235,-1357.7999999993735
