,strategy,decks,penetration,seventeen,BJ_payout,-1_count_bet,-1_count_spot,0_count_bet,0_count_spot,1_count_bet,1_count_spot,2_count_bet,2_count_spot,3_count_bet,3_count_spot,4_count_bet,4_count_spot,5_count_bet,5_count_spot,6_count_bet,6_count_spot,probability_of_winning,expected_value,prob_of_winning_on_pos_count,expected_value_on_pos_count,fifth_percentile_loss
27,naive,4,2.0,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.480192,-0.09124840000000002,0.4881958677228162,-0.07737439760704591,-4859.60000000657
28,naive,6,0.5,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.48002399999999995,-0.09263919999999999,0.4919847196456766,-0.07113965452839012,-4986.600000006467
29,naive,6,0.5,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.48002399999999995,-0.09263919999999999,0.4919847196456766,-0.07113965452839012,-4986.600000006467
30,naive,6,0.5,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.480257,-0.0915155999999999,0.4938372298080314,-0.06679850859071901,-4921.400000006441
31,naive,6,0.5,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.480257,-0.0915155999999999,0.4938372298080314,-0.06679850859071901,-4921.400000006441
32,naive,6,1.0,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.479865,-0.09248039999999998,0.4907425357073623,-0.07270994811877153,-4943.399999998676
33,naive,6,1.0,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.479865,-0.09248039999999998,0.4907425357073623,-0.07270994811877153,-4943.399999998676
34,naive,6,1.0,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.480207,-0.0913142,0.4909337227278271,-0.07236276975512315,-4870.400000000404
35,naive,6,1.0,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.480207,-0.0913142,0.4909337227278271,-0.07236276975512315,-4870.400000000404
36,naive,6,1.5,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.47992799999999997,-0.09283060000000004,0.4900870990449574,-0.0748673551938978,-5003.999999998358
37,naive,6,1.5,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.47992799999999997,-0.09283060000000004,0.4900870990449574,-0.0748673551938978,-5003.999999998358
